day,sku,ending_inventory_units,inventory_units_sold
2025-09-01,,118,0
2025-09-01,BJ-E223-8EKW,0,0
2025-09-01,CP-DQMG-RVN9,0,0
2025-09-01,CW-KVIN-V39Y,0,0
2025-09-01,NX-CVPF-VCEZ,0,0
2025-09-01,NX-CVPF-VCEZ-NEU,0,0
2025-09-01,TU-QNYD-JRRX,0,0
2025-09-01,VI-ZU99-SZ0B,0,0
2025-09-01,VV-VITA-101,0,0
2025-09-01,VV-VITA-102,0,0
2025-09-01,VV-VITA-106,0,0
2025-09-01,VV-VITA-107,0,0
2025-09-01,VV-VITA-109,0,0
2025-09-01,VV-VITA-111,0,0
2025-09-01,VV-VITA-116,0,0
2025-09-01,VV-VITA-119,0,0
2025-09-01,VV-VITA-119-NEU2,0,0
2025-09-01,VV-VITA-121,0,0
2025-09-01,VV-VITA-122,0,0
2025-09-01,VV-VITA-124,0,0
2025-09-01,VV-VITA-127,0,0
2025-09-01,VV-VITA-129,0,0
2025-09-01,VV-VITA-136,0,0
2025-09-01,VV-VITA-142,0,0
2025-09-01,VV-VITA-146,0,0
2025-09-01,VV-VITA-151,0,0
2025-09-01,VV-VITA-153,0,0
2025-09-01,VV-VITA-155,0,0
2025-09-01,VV-VITA-158,0,0
2025-09-01,VV-VITA-159,0,0
2025-09-01,VV-VITA-165,0,0
2025-09-01,VV-VITA-166,0,0
2025-09-01,VV-VITA-168,0,0
2025-09-01,VV-VITA-170,0,0
2025-09-01,VV-VITA-171,0,0
2025-09-01,VV-VITA-172,0,0
2025-09-01,VV-VITA-173,0,0
2025-09-01,VV-VITA-174,0,0
2025-09-01,VV-VITA-183,0,0
2025-09-01,VV-VITA-186,0,0
2025-09-01,VV-VITA-188,0,0
2025-09-01,VV-VITA-189,0,0
2025-09-01,VV-VITA-190,0,0
2025-09-01,VV-VITA-197,0,0
2025-09-01,VV-VITA-198,0,0
2025-09-01,VV-VITA-199,0,0
2025-09-01,VV-VITA-202,0,0
2025-09-01,VV-VITA-203,0,0
2025-09-01,VV-VITA-204,0,0
2025-09-01,VV-VITA-206,0,0
2025-09-01,VV-VITA-207,0,0
2025-09-01,VV-VITA-208,0,0
2025-09-01,VV-VITA-215,0,0
2025-09-01,VV-VITA-216,0,0
2025-09-01,VV-VITA-222,0,0
2025-09-01,VV-VITA-223,0,0
2025-09-01,VV-VITA-224,0,0
2025-09-01,VV-VITA-225,0,0
2025-09-01,VV-VITA-228,0,0
2025-09-01,VV-VITA-230,0,0
2025-09-01,VV-VITA-231,0,0
2025-09-01,VV-VITA-237,0,0
2025-09-01,VV-VITA-243,0,0
2025-09-01,VV-VITA-247,0,0
2025-09-01,VV-VITA-248,-2,0
2025-09-01,VV-VITA-249,0,0
2025-09-01,VV-VITA-250,0,0
2025-09-01,VV-VITA-252,0,0
2025-09-01,VV-VITA-256,0,0
2025-09-01,VV-VITA-257,0,0
2025-09-01,VV-VITA-258,0,0
2025-09-01,VV-VITA-259,0,0
2025-09-01,VV-VITA-262,0,0
2025-09-01,VV-VITA-264,0,0
2025-09-01,VV-VITA-276,0,0
2025-09-01,VV-VITA-277,0,0
2025-09-01,VV-VITA-284,0,0
2025-09-01,VV-VITA-286,0,0
2025-09-01,VV-VITA-287,0,0
2025-09-01,VV-VITA-295,0,0
2025-09-01,VV-VITA-297,0,0
2025-09-01,VV-VITA-298,0,0
2025-09-01,VV-VITA-301,0,0
2025-09-01,VV-VITA-303,0,0
2025-09-01,VV-VITA-304,0,0
2025-09-01,VV-VITA-308,0,0
2025-09-01,VV-VITA-31,0,0
2025-09-01,VV-VITA-310,0,0
2025-09-01,VV-VITA-311,0,0
2025-09-01,VV-VITA-313,0,0
2025-09-01,VV-VITA-314,10,0
2025-09-01,VV-VITA-316,0,0
2025-09-01,VV-VITA-317,0,0
2025-09-01,VV-VITA-318,0,0
2025-09-01,VV-VITA-319,0,0
2025-09-01,VV-VITA-320,0,0
2025-09-01,VV-VITA-326,0,0
2025-09-01,VV-VITA-327,0,0
2025-09-01,VV-VITA-329,0,0
2025-09-01,VV-VITA-331,0,0
2025-09-01,VV-VITA-336,0,0
2025-09-01,VV-VITA-337,0,0
2025-09-01,VV-VITA-338,0,0
2025-09-01,VV-VITA-339,0,0
2025-09-01,VV-VITA-341,0,0
2025-09-01,VV-VITA-342,0,0
2025-09-01,VV-VITA-343,0,0
2025-09-01,VV-VITA-344,0,0
2025-09-01,VV-VITA-345,0,0
2025-09-01,VV-VITA-346,0,0
2025-09-01,VV-VITA-349,0,0
2025-09-01,VV-VITA-350,0,0
2025-09-01,VV-VITA-351,0,0
2025-09-01,VV-VITA-352,0,0
2025-09-01,VV-VITA-354,0,0
2025-09-01,VV-VITA-355,0,0
2025-09-01,VV-VITA-356,0,0
2025-09-01,VV-VITA-357,0,0
2025-09-01,VV-VITA-358,0,0
2025-09-01,VV-VITA-359,0,0
2025-09-01,VV-VITA-361,0,0
2025-09-01,VV-VITA-362,0,0
2025-09-01,VV-VITA-363,0,0
2025-09-01,VV-VITA-364,0,0
2025-09-01,VV-VITA-365,0,0
2025-09-01,VV-VITA-366,0,0
2025-09-01,VV-VITA-367,0,0
2025-09-01,VV-VITA-368,0,0
2025-09-01,VV-VITA-369,0,0
2025-09-01,VV-VITA-371,0,0
2025-09-01,VV-VITA-372,0,0
2025-09-01,VV-VITA-373,0,0
2025-09-01,VV-VITA-374,0,0
2025-09-01,VV-VITA-375,0,0
2025-09-01,VV-VITA-376,0,0
2025-09-01,VV-VITA-377,0,0
2025-09-01,VV-VITA-378,0,0
2025-09-01,VV-VITA-379,0,0
2025-09-01,VV-VITA-38,0,0
2025-09-01,VV-VITA-380,0,0
2025-09-01,VV-VITA-381,0,0
2025-09-01,VV-VITA-382,0,0
2025-09-01,VV-VITA-383,0,0
2025-09-01,VV-VITA-385,0,0
2025-09-01,VV-VITA-386,0,0
2025-09-01,VV-VITA-387,0,0
2025-09-01,VV-VITA-39,0,0
2025-09-01,VV-VITA-46,0,0
2025-09-01,VV-VITA-49,0,0
2025-09-01,VV-VITA-50,0,0
2025-09-01,VV-VITA-57-V,0,0
2025-09-01,VV-VITA-57-V2,0,0
2025-09-01,VV-VITA-63,0,0
2025-09-01,VV-VITA-86,0,0
2025-09-01,VV-VITA-88,0,0
2025-09-01,VV-VITA-90,0,0
2025-09-01,VV-VITA-93,0,0
2025-09-01,VV-VITA-94,0,0
2025-09-02,,118,0
2025-09-02,BJ-E223-8EKW,0,0
2025-09-02,CP-DQMG-RVN9,0,0
2025-09-02,CW-KVIN-V39Y,0,0
2025-09-02,NX-CVPF-VCEZ,0,0
2025-09-02,NX-CVPF-VCEZ-NEU,0,0
2025-09-02,TU-QNYD-JRRX,0,0
2025-09-02,VI-ZU99-SZ0B,0,0
2025-09-02,VV-VITA-101,0,0
2025-09-02,VV-VITA-102,0,0
2025-09-02,VV-VITA-106,0,0
2025-09-02,VV-VITA-107,0,0
2025-09-02,VV-VITA-109,0,0
2025-09-02,VV-VITA-111,0,0
2025-09-02,VV-VITA-116,0,0
2025-09-02,VV-VITA-119,0,0
2025-09-02,VV-VITA-119-NEU2,0,0
2025-09-02,VV-VITA-121,0,0
2025-09-02,VV-VITA-122,0,0
2025-09-02,VV-VITA-124,0,0
2025-09-02,VV-VITA-127,0,0
2025-09-02,VV-VITA-129,0,0
2025-09-02,VV-VITA-136,0,0
2025-09-02,VV-VITA-142,0,0
2025-09-02,VV-VITA-146,0,0
2025-09-02,VV-VITA-151,0,0
2025-09-02,VV-VITA-153,0,0
2025-09-02,VV-VITA-155,0,0
2025-09-02,VV-VITA-158,0,0
2025-09-02,VV-VITA-159,0,0
2025-09-02,VV-VITA-165,0,0
2025-09-02,VV-VITA-166,0,0
2025-09-02,VV-VITA-168,0,0
2025-09-02,VV-VITA-170,0,0
2025-09-02,VV-VITA-171,0,0
2025-09-02,VV-VITA-172,0,0
2025-09-02,VV-VITA-173,0,0
2025-09-02,VV-VITA-174,0,0
2025-09-02,VV-VITA-183,0,0
2025-09-02,VV-VITA-186,0,0
2025-09-02,VV-VITA-188,0,0
2025-09-02,VV-VITA-189,0,0
2025-09-02,VV-VITA-190,0,0
2025-09-02,VV-VITA-197,0,0
2025-09-02,VV-VITA-198,0,0
2025-09-02,VV-VITA-199,0,0
2025-09-02,VV-VITA-202,0,0
2025-09-02,VV-VITA-203,0,0
2025-09-02,VV-VITA-204,0,0
2025-09-02,VV-VITA-206,0,0
2025-09-02,VV-VITA-207,0,0
2025-09-02,VV-VITA-208,0,0
2025-09-02,VV-VITA-215,0,0
2025-09-02,VV-VITA-216,0,0
2025-09-02,VV-VITA-222,0,0
2025-09-02,VV-VITA-223,0,0
2025-09-02,VV-VITA-224,0,0
2025-09-02,VV-VITA-225,0,0
2025-09-02,VV-VITA-228,0,0
2025-09-02,VV-VITA-230,0,0
2025-09-02,VV-VITA-231,0,0
2025-09-02,VV-VITA-237,0,0
2025-09-02,VV-VITA-243,0,0
2025-09-02,VV-VITA-247,0,0
2025-09-02,VV-VITA-248,-2,0
2025-09-02,VV-VITA-249,0,0
2025-09-02,VV-VITA-250,0,0
2025-09-02,VV-VITA-252,0,0
2025-09-02,VV-VITA-256,0,0
2025-09-02,VV-VITA-257,0,0
2025-09-02,VV-VITA-258,0,0
2025-09-02,VV-VITA-259,0,0
2025-09-02,VV-VITA-262,0,0
2025-09-02,VV-VITA-264,0,0
2025-09-02,VV-VITA-276,0,0
2025-09-02,VV-VITA-277,0,0
2025-09-02,VV-VITA-284,0,0
2025-09-02,VV-VITA-286,0,0
2025-09-02,VV-VITA-287,0,0
2025-09-02,VV-VITA-295,0,0
2025-09-02,VV-VITA-297,0,0
2025-09-02,VV-VITA-298,0,0
2025-09-02,VV-VITA-301,0,0
2025-09-02,VV-VITA-303,0,0
2025-09-02,VV-VITA-304,0,0
2025-09-02,VV-VITA-308,0,0
2025-09-02,VV-VITA-31,0,0
2025-09-02,VV-VITA-310,0,0
2025-09-02,VV-VITA-311,0,0
2025-09-02,VV-VITA-313,0,0
2025-09-02,VV-VITA-314,10,0
2025-09-02,VV-VITA-316,0,0
2025-09-02,VV-VITA-317,0,0
2025-09-02,VV-VITA-318,0,0
2025-09-02,VV-VITA-319,0,0
2025-09-02,VV-VITA-320,0,0
2025-09-02,VV-VITA-326,0,0
2025-09-02,VV-VITA-327,0,0
2025-09-02,VV-VITA-329,0,0
2025-09-02,VV-VITA-331,0,0
2025-09-02,VV-VITA-336,0,0
2025-09-02,VV-VITA-337,0,0
2025-09-02,VV-VITA-338,0,0
2025-09-02,VV-VITA-339,0,0
2025-09-02,VV-VITA-341,0,0
2025-09-02,VV-VITA-342,0,0
2025-09-02,VV-VITA-343,0,0
2025-09-02,VV-VITA-344,0,0
2025-09-02,VV-VITA-345,0,0
2025-09-02,VV-VITA-346,0,0
2025-09-02,VV-VITA-349,0,0
2025-09-02,VV-VITA-350,0,0
2025-09-02,VV-VITA-351,0,0
2025-09-02,VV-VITA-352,0,0
2025-09-02,VV-VITA-354,0,0
2025-09-02,VV-VITA-355,0,0
2025-09-02,VV-VITA-356,0,0
2025-09-02,VV-VITA-357,0,0
2025-09-02,VV-VITA-358,0,0
2025-09-02,VV-VITA-359,0,0
2025-09-02,VV-VITA-361,0,0
2025-09-02,VV-VITA-362,0,0
2025-09-02,VV-VITA-363,0,0
2025-09-02,VV-VITA-364,0,0
2025-09-02,VV-VITA-365,0,0
2025-09-02,VV-VITA-366,0,0
2025-09-02,VV-VITA-367,0,0
2025-09-02,VV-VITA-368,0,0
2025-09-02,VV-VITA-369,0,0
2025-09-02,VV-VITA-371,0,0
2025-09-02,VV-VITA-372,0,0
2025-09-02,VV-VITA-373,0,0
2025-09-02,VV-VITA-374,0,0
2025-09-02,VV-VITA-375,0,0
2025-09-02,VV-VITA-376,0,0
2025-09-02,VV-VITA-377,0,0
2025-09-02,VV-VITA-378,0,0
2025-09-02,VV-VITA-379,0,0
2025-09-02,VV-VITA-38,0,0
2025-09-02,VV-VITA-380,0,0
2025-09-02,VV-VITA-381,0,0
2025-09-02,VV-VITA-382,0,0
2025-09-02,VV-VITA-383,0,0
2025-09-02,VV-VITA-385,0,0
2025-09-02,VV-VITA-386,0,0
2025-09-02,VV-VITA-387,0,0
2025-09-02,VV-VITA-39,0,0
2025-09-02,VV-VITA-46,0,0
2025-09-02,VV-VITA-49,0,0
2025-09-02,VV-VITA-50,0,0
2025-09-02,VV-VITA-57-V,0,0
2025-09-02,VV-VITA-57-V2,0,0
2025-09-02,VV-VITA-63,0,0
2025-09-02,VV-VITA-86,0,0
2025-09-02,VV-VITA-88,0,0
2025-09-02,VV-VITA-90,0,0
2025-09-02,VV-VITA-93,0,0
2025-09-02,VV-VITA-94,0,0
2025-09-03,,25361,2
2025-09-03,BJ-E223-8EKW,7523,0
2025-09-03,CP-DQMG-RVN9,2550,0
2025-09-03,CW-KVIN-V39Y,969,0
2025-09-03,NX-CVPF-VCEZ,1343,0
2025-09-03,NX-CVPF-VCEZ-NEU,0,0
2025-09-03,TU-QNYD-JRRX,387,0
2025-09-03,VI-ZU99-SZ0B,3058,0
2025-09-03,VV-VITA-101,3862,0
2025-09-03,VV-VITA-102,1451,0
2025-09-03,VV-VITA-106,2034,0
2025-09-03,VV-VITA-107,2653,0
2025-09-03,VV-VITA-109,1209,0
2025-09-03,VV-VITA-111,1421,0
2025-09-03,VV-VITA-116,3017,0
2025-09-03,VV-VITA-119,23,0
2025-09-03,VV-VITA-119-NEU2,0,0
2025-09-03,VV-VITA-121,1073,0
2025-09-03,VV-VITA-122,1771,0
2025-09-03,VV-VITA-124,319,0
2025-09-03,VV-VITA-127,3891,0
2025-09-03,VV-VITA-129,986,0
2025-09-03,VV-VITA-136,8260,0
2025-09-03,VV-VITA-142,0,0
2025-09-03,VV-VITA-146,1864,0
2025-09-03,VV-VITA-151,1789,0
2025-09-03,VV-VITA-153,0,0
2025-09-03,VV-VITA-155,787,0
2025-09-03,VV-VITA-158,402,0
2025-09-03,VV-VITA-159,2195,0
2025-09-03,VV-VITA-165,4726,0
2025-09-03,VV-VITA-166,233,0
2025-09-03,VV-VITA-168,924,0
2025-09-03,VV-VITA-170,5721,0
2025-09-03,VV-VITA-171,53,0
2025-09-03,VV-VITA-172,973,0
2025-09-03,VV-VITA-173,415,0
2025-09-03,VV-VITA-174,0,0
2025-09-03,VV-VITA-183,1484,0
2025-09-03,VV-VITA-186,1064,0
2025-09-03,VV-VITA-188,202,0
2025-09-03,VV-VITA-189,2516,0
2025-09-03,VV-VITA-190,305,0
2025-09-03,VV-VITA-197,1264,0
2025-09-03,VV-VITA-198,4264,0
2025-09-03,VV-VITA-199,1940,0
2025-09-03,VV-VITA-202,1491,0
2025-09-03,VV-VITA-203,8,0
2025-09-03,VV-VITA-204,1982,0
2025-09-03,VV-VITA-206,914,0
2025-09-03,VV-VITA-207,1793,0
2025-09-03,VV-VITA-208,521,0
2025-09-03,VV-VITA-215,2251,0
2025-09-03,VV-VITA-216,1603,0
2025-09-03,VV-VITA-222,4539,0
2025-09-03,VV-VITA-223,2443,0
2025-09-03,VV-VITA-224,926,0
2025-09-03,VV-VITA-225,2242,0
2025-09-03,VV-VITA-228,1106,0
2025-09-03,VV-VITA-230,47,0
2025-09-03,VV-VITA-231,0,0
2025-09-03,VV-VITA-237,3039,0
2025-09-03,VV-VITA-243,11043,1
2025-09-03,VV-VITA-247,4121,0
2025-09-03,VV-VITA-248,26,2
2025-09-03,VV-VITA-249,0,0
2025-09-03,VV-VITA-250,1177,0
2025-09-03,VV-VITA-252,1297,0
2025-09-03,VV-VITA-256,4029,0
2025-09-03,VV-VITA-257,2608,0
2025-09-03,VV-VITA-258,1218,0
2025-09-03,VV-VITA-259,2000,0
2025-09-03,VV-VITA-262,1387,0
2025-09-03,VV-VITA-264,1265,0
2025-09-03,VV-VITA-276,399,0
2025-09-03,VV-VITA-277,1862,0
2025-09-03,VV-VITA-284,4,0
2025-09-03,VV-VITA-286,1916,0
2025-09-03,VV-VITA-287,1226,0
2025-09-03,VV-VITA-295,1289,0
2025-09-03,VV-VITA-297,1753,0
2025-09-03,VV-VITA-298,1916,0
2025-09-03,VV-VITA-301,1673,0
