day,sku,net_items_sold,net_sales,gross_sales
2025-09-01,,0,0,0
2025-09-02,,0,0,0
2025-09-03,,0,0,34.89
2025-09-03,VV-VITA-243,0,0,20.9
2025-09-03,VV-VITA-248,1,22.4,44.81
2025-09-04,,0,0,0
2025-09-05,,0,0,0
2025-09-06,,0,0,0
2025-09-07,,0,0,0
2025-09-08,,0,0,0
2025-09-09,,5,86.6,97.5
2025-09-09,VV-VITA-107,1,16.02,16.02
2025-09-09,VV-VITA-127,1,24.9,24.9
2025-09-09,VV-VITA-155,3,56.43,62.7
2025-09-09,VV-VITA-159,1,20.45,22.72
2025-09-09,VV-VITA-172,1,22.72,22.72
2025-09-09,VV-VITA-173,2,32.72,36.34
2025-09-09,VV-VITA-198,1,16.36,18.16
2025-09-09,VV-VITA-206,3,53.28,54.99
2025-09-09,VV-VITA-215,2,37.8,37.8
2025-09-09,VV-VITA-223,1,18.81,20.9
2025-09-09,VV-VITA-228,1,20.45,20.45
2025-09-09,VV-VITA-243,1,21.9,21.9
2025-09-09,VV-VITA-248,2,45.37,45.37
2025-09-09,VV-VITA-304,1,14.45,14.45
2025-09-09,VV-VITA-311,4,66.83,72.27
2025-09-09,VV-VITA-316,1,16.35,16.35
2025-09-09,VV-VITA-355,4,91.12,91.12
2025-09-09,VV-VITA-49,1,18.9,18.9
2025-09-09,VV-VITA-86,1,20.9,20.9
2025-09-10,,5,103.02,103.02
2025-09-10,BJ-E223-8EKW,4,99.88,108.05
2025-09-10,VV-VITA-101,1,21.81,21.81
2025-09-10,VV-VITA-116,3,42.96,53.7
2025-09-10,VV-VITA-119,1,18.9,18.9
2025-09-10,VV-VITA-122,1,22.9,22.9
2025-09-10,VV-VITA-124,1,23.9,23.9
2025-09-10,VV-VITA-127,2,45.44,45.44
2025-09-10,VV-VITA-146,9,150.5,150.5
2025-09-10,VV-VITA-171,1,24.46,27.17
2025-09-10,VV-VITA-173,1,18.09,18.09
2025-09-10,VV-VITA-190,2,31.84,39.8
2025-09-10,VV-VITA-198,1,18.17,18.17
2025-09-10,VV-VITA-208,3,59.7,59.7
2025-09-10,VV-VITA-223,6,121.84,131.4
2025-09-10,VV-VITA-224,3,47.76,59.7
2025-09-10,VV-VITA-228,1,18.32,22.9
2025-09-10,VV-VITA-230,1,25.9,25.9
2025-09-10,VV-VITA-243,1,18.59,20.65
2025-09-10,VV-VITA-248,1,20.29,22.54
2025-09-10,VV-VITA-250,1,14.32,17.9
2025-09-10,VV-VITA-287,1,18.95,18.95
2025-09-10,VV-VITA-298,1,22.9,22.9
2025-09-10,VV-VITA-301,1,15.92,19.9
2025-09-10,VV-VITA-31,1,21.9,21.9
2025-09-10,VV-VITA-311,1,18.17,18.17
2025-09-10,VV-VITA-313,1,19.99,19.99
2025-09-10,VV-VITA-320,1,21.52,26.9
2025-09-10,VV-VITA-326,1,24.9,24.9
2025-09-10,VV-VITA-345,1,20.9,20.9
2025-09-10,VV-VITA-346,2,30.89,30.89
2025-09-10,VV-VITA-354,2,40.78,45.31
2025-09-10,VV-VITA-355,6,137.4,137.4
2025-09-10,VV-VITA-361,2,33.8,33.8
2025-09-10,VV-VITA-363,1,16.9,16.9
2025-09-10,VV-VITA-365,1,14.9,14.9
2025-09-10,VV-VITA-367,2,36.35,36.35
2025-09-10,VV-VITA-377,1,14.9,14.9
2025-09-10,VV-VITA-381,1,14.9,14.9
2025-09-10,VV-VITA-382,1,18.9,18.9
2025-09-10,VV-VITA-387,2,58.16,58.16
2025-09-10,VV-VITA-49,1,19.99,19.99
2025-09-10,VV-VITA-50,7,127.75,127.75
2025-09-10,VV-VITA-63,1,19.08,19.08
2025-09-11,,6,116.97,120.39
2025-09-11,BJ-E223-8EKW,1,27.26,27.26
2025-09-11,VI-ZU99-SZ0B,1,17.26,17.26
2025-09-11,VV-VITA-127,4,90.87,90.87
2025-09-11,VV-VITA-151,1,23.9,23.9
2025-09-11,VV-VITA-155,1,22.72,22.72
2025-09-11,VV-VITA-173,2,36.26,36.26
2025-09-11,VV-VITA-203,1,16.12,17.91
2025-09-11,VV-VITA-222,1,23.9,23.9
2025-09-11,VV-VITA-225,1,20.39,22.65
2025-09-11,VV-VITA-228,1,21.81,21.81
