sku,product_title,variant_title,current_price,status
,L-Lysin Capsules,240 Capsules,0.00,DRAFT
2R-49NC-R697,MSM Powder,1 kg / Pouch,14.90,ACTIVE
Active_Lifestyle_Set_3,All Day Athlete Set,Default Title,64.53,ACTIVE
Agility_Set_3,Loosen Up Set,Default Title,57.33,ACTIVE
BJ-E223-8EKW,Moringa Oleifera Capsules Organic,270 Capsules,24.90,ACTIVE
Beauty_Set_3-0,Beauty Elixir Set,Default Title,73.53,ACTIVE
CP-DQMG-RVN9,Wild Yams + Zinc Capsules,120 Capsules,21.90,ACTIVE
CW-KVIN-V39Y,D-Mannose Powder,250G,20.90,ACTIVE
Daily_Vegan_Set,Daily Vegan Set,Default Title,55.70,DRAFT
Detox_Set_3,Deep Clean Set,Default Title,48.33,ACTIVE
Digestion_Health_Set_3,Happy Gutfeeling Set,Default Title,64.53,ACTIVE
Dreamcatcher_Set_3,Dream Catcher Set,Default Title,55.53,ACTIVE
Emotional_Balance_Set_3,Peace of Mind Set,Default Title,56.43,ACTIVE
Energy_Set_3,Full Battery Set,Default Title,50.13,ACTIVE
Everyday_Essentials_Set,Everyday Essentials Set,Default Title,55.70,DRAFT
General_Health_Set_3,All-Rounder Set,Default Title,55.53,ACTIVE
Gut_Flora_Set,Gut Flora Set,Default Title,64.53,DRAFT
Hormonal_Blanace_Set_3,Inner Center Set,Default Title,50.13,ACTIVE
Immune_System_Set_3,Shield Set,Default Title,60.03,ACTIVE
Menopause_Set,Menopause Set,Default Title,53.73,ACTIVE
Mental_Focus_Set_3,Clever Mind Set,Default Title,56.43,ACTIVE
NX-CVPF-VCEZ,Reishi Extract Capsules,120 Capsules,20.90,ACTIVE
Performance_Push_Set_3,Ready? Go! Set,Default Title,44.73,ACTIVE
Regeneration_Set_3,Reboot Set,Default Title,51.93,ACTIVE
Sunkissed-set,Sunkissed Set,Default Title,62.73,ACTIVE
TU-QNYD-JRRX,Tribulus Terrestris Extract Capsules,120 Capsules,18.90,ACTIVE
VI-ZU99-SZ0B,L-Tryptophan Capsules,120 Capsules,17.90,ACTIVE
VV-ALO-06,MSM Powder,1 kg / Container,17.90,ACTIVE
VV-VITA-02,Milk Thistle Extract Capsules,120 Capsules,17.90,ACTIVE
VV-VITA-101,Rhodiola Rosea Extract Capsules,120 Capsules,25.90,ACTIVE
VV-VITA-102,Ginkgo Biloba Extract Capsules,180 Capsules,19.90,ACTIVE
