sku,start,end,days,lost_units,lost_revenue,main_category,product_title
VV-VITA-231,2026-03-22,2026-04-29,39,470.47,10771.87,Physical,Myo-Inositol Complex Capsules
VV-VITA-46,2026-03-03,2026-06-17,107,543.14,9456.23,Physical,Multivitamin Plus Capsules
VV-VITA-381,2026-04-27,2026-06-17,52,603.23,8285.27,Physical,Myo-Inositol Powder
VV-VITA-243,2025-12-08,2026-03-09,92,421.83,7554.46,Physical,Multi Magnesium Complex Capsules
VV-VITA-106,2026-02-11,2026-07-15,155,382.21,7289.65,Physical,Black Garlic Extract Capsules
VV-VITA-228,2026-03-03,2026-04-27,56,327.47,6611.16,Physical,Vitamin D3 + K2 Oil Capsules
VV-VITA-230,2026-03-20,2026-07-15,118,301.72,6597.94,Physical,Berberine Plus Capsules
VV-VITA-352,2026-01-30,2026-06-08,130,324.30,6249.86,Physical,Omega 3 + ADEK Oil Capsules
VV-VITA-231,2025-11-23,2026-01-29,68,248.84,6247.35,Physical,Myo-Inositol Complex Capsules
VV-VITA-243,2026-04-19,2026-05-25,37,383.57,6055.22,Physical,Multi Magnesium Complex Capsules
VV-VITA-228,2025-11-22,2026-01-29,69,254.40,5113.89,Physical,Vitamin D3 + K2 Oil Capsules
VV-VITA-355,2026-04-22,2026-06-17,57,186.16,3625.79,Physical,L-Glutathione Complex Capsules
VV-VITA-381,2026-06-22,2026-07-15,24,253.80,3570.02,Physical,Myo-Inositol Powder
TU-QNYD-JRRX,2025-12-29,2026-01-22,25,267.31,3284.33,Physical,Tribulus Terrestris Extract Capsules
VV-VITA-155,2026-04-23,2026-06-16,55,191.33,3224.79,Physical,Reishi Extract Capsules Organic
VV-VITA-356,2026-04-18,2026-07-26,100,207.69,3208.92,Physical,Black Maca Plus Capsules
VV-VITA-329,2026-01-30,2026-05-03,94,175.72,3168.36,Physical,Liposomal Vitamin C Capsules
VV-VITA-224,2026-06-08,2026-07-15,38,183.96,3094.62,Physical,Vegan Essentials Complex Capsules
VV-VITA-390,2025-12-19,2026-05-28,161,153.50,2975.40,Physical,L-Citrulline Malate Powder
VV-VITA-222,2025-11-23,2026-02-15,85,137.46,2932.90,Physical,Black Cumin Seed Oil Capsules Organic
VV-VITA-88,2025-10-24,2026-02-18,118,125.37,2734.60,Physical,Chlorella & Spirulina Capsules Organic
VV-VITA-172,2025-12-17,2026-02-10,56,186.84,2716.05,Physical,Maitake Capsules Organic
VV-VITA-276,2026-06-27,2026-07-26,30,134.13,2650.29,Physical,Venaflux Complex Capsules
VV-VITA-197,2026-05-26,2026-06-14,20,148.27,2605.25,Physical,Guggul Extract Capsules
VV-VITA-372,2026-02-22,2026-05-31,99,154.99,2589.20,Physical,Vitamin D3 + K2 Depot Tablets
VV-VITA-223,2025-12-24,2026-01-19,27,121.08,2508.90,Physical,Omega 3 Oil Capsules
VV-VITA-216,2026-03-23,2026-05-17,56,134.66,2438.70,Physical,Kudzu Plus Capsules
VV-VITA-287,2026-03-03,2026-05-12,71,141.79,2338.99,Physical,Natural Silicium Capsules Organic
VV-VITA-203,2026-04-26,2026-06-17,53,131.86,2249.37,Physical,GABA Plus Capsules
VV-VITA-249,2026-03-03,2026-05-03,62,113.49,2195.33,Physical,Saccharomyces Boulardii Capsules
