month,lost_revenue,lost_units,actual_revenue,Critically low,Demand gap,Physical,Suppressed sales (post-OOS),oos_rate,wisr,skus_oos
2025-09-01,31.45,1.43,35174.30,15.72,0.00,15.72,0.00,0.00,1.00,1.00
2025-10-01,3218.73,153.40,76741.41,312.07,40.96,2865.69,0.00,0.05,0.94,18.00
2025-11-01,10127.86,553.17,93988.69,61.98,537.74,9355.60,172.54,0.11,0.87,29.00
2025-12-01,19717.22,1109.80,79502.03,1050.35,2371.69,16187.98,107.20,0.14,0.78,27.00
2026-01-01,30903.89,1693.40,86454.80,661.56,693.46,29548.88,0.00,0.20,0.71,48.00
2026-02-01,22789.01,1216.45,113571.71,459.85,224.84,22104.32,0.00,0.20,0.79,48.00
2026-03-01,28457.13,1507.11,139235.83,332.65,400.24,27724.23,0.00,0.20,0.79,55.00
2026-04-01,48971.13,2639.19,123906.11,839.85,168.20,47963.08,0.00,0.28,0.70,59.00
2026-05-01,48003.69,2852.12,122625.45,1113.74,1313.76,45576.19,0.00,0.26,0.72,53.00
2026-06-01,31430.34,1873.88,125729.80,828.66,413.27,30155.26,33.14,0.16,0.80,53.00
2026-07-01,14362.87,837.62,47576.08,285.99,192.03,13852.13,32.72,0.15,0.79,29.00
