sku,day,units,revenue,stock,lam,reach,trail_price,live,category,lost_units,lost_revenue,unrealized_revenue
2R-49NC-R697,2025-09-01,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-02,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-03,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-04,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-05,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-06,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-07,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-08,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-09,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-10,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-11,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-12,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-13,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-14,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-15,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-16,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-17,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
2R-49NC-R697,2025-09-18,0.0000,0.0000,,,,17.9000,False,Pre-launch,0.0000,0.0000,0.0000
