sku,lost_revenue,lost_units,oos_days,actual_revenue,lam,stock_now,reach_now,category_now,product_title,variant_title
VV-VITA-231,18586.73,781.39,137,41313.77,11.16,5278.00,781.93,In stock,Myo-Inositol Complex Capsules,120 Capsules
VV-VITA-243,13609.68,805.40,129,21112.58,7.65,9939.00,1164.40,In stock,Multi Magnesium Complex Capsules,180 Capsules
VV-VITA-381,13250.14,958.74,148,18422.46,5.92,2081.00,256.91,In stock,Myo-Inositol Powder,200 g
VV-VITA-46,12964.88,753.94,189,5672.56,2.94,3079.00,1197.39,In stock,Multivitamin Plus Capsules,120 Capsules
VV-VITA-228,11957.83,593.23,129,16257.83,4.20,3748.00,1295.60,In stock,Vitamin D3 + K2 Oil Capsules,120 Capsules
VV-VITA-106,9660.72,515.18,186,7884.84,2.07,554.00,692.50,In stock,Black Garlic Extract Capsules,120 Capsules
VV-VITA-230,8456.32,392.23,173,5873.28,2.71,4027.00,1582.04,In stock,Berberine Plus Capsules,90 Capsules
VV-VITA-352,6369.35,330.32,133,5275.64,1.48,2244.00,1904.00,In stock,Omega 3 + ADEK Oil Capsules,60 Capsules
TU-QNYD-JRRX,6105.60,496.38,59,20440.51,2.30,129.00,41.05,In stock,Tribulus Terrestris Extract Capsules,120 Capsules
VV-VITA-355,5661.69,286.76,107,10261.38,4.00,6287.00,1760.36,In stock,L-Glutathione Complex Capsules,90 Capsules
VV-VITA-224,5511.45,315.20,115,14619.96,5.47,1547.00,261.80,In stock,Vegan Essentials Complex Capsules,120 Capsules
VV-VITA-197,4821.84,276.94,38,48992.33,6.85,34.00,6.00,Demand gap,Guggul Extract Capsules,120 Capsules
VV-VITA-127,4729.33,233.06,146,9973.19,3.83,2038.00,582.29,In stock,Saffron Extract Capsules,120 Capsules
VV-VITA-172,4645.85,315.55,85,5592.38,1.95,98.00,49.00,In stock,Maitake Capsules Organic,60 Capsules
VV-VITA-287,4432.61,258.52,144,5327.88,1.93,752.00,638.06,In stock,Natural Silicium Capsules Organic,120 Capsules
VV-VITA-311,4031.28,235.35,111,8447.91,2.80,4008.00,2672.00,In stock,NAC Capsules,180 Capsules
VV-VITA-155,3826.56,225.04,78,9722.62,2.95,336.00,130.67,In stock,Reishi Extract Capsules Organic,90 Capsules
VV-VITA-223,3734.87,181.48,43,55380.47,12.34,4008.00,429.98,In stock,Omega 3 Oil Capsules,90 Capsules
VV-VITA-86,3678.48,204.99,157,3718.87,2.18,593.00,242.59,In stock,MSM Capsules,365 Capsules
VV-VITA-329,3531.37,196.65,106,9794.95,2.74,4225.00,2571.74,In stock,Liposomal Vitamin C Capsules,120 Capsules
VV-VITA-372,3380.61,202.78,137,2883.43,0.80,5698.00,7597.33,In stock,Vitamin D3 + K2 Depot Tablets,90 Tablets
VV-VITA-356,3208.92,207.69,100,4692.36,1.93,-10.00,-8.75,Physical,Black Maca Plus Capsules,120 Capsules
VV-VITA-203,3203.93,189.24,74,9460.28,2.61,182.00,88.54,In stock,GABA Plus Capsules,120 Capsules
VV-VITA-256,3101.49,150.35,112,7939.45,1.88,4390.00,1959.82,In stock,Pumpkin Seed Oil Capsules Organic,180 Capsules
VV-VITA-102,3067.77,178.41,166,1350.66,0.77,555.00,1295.00,In stock,Ginkgo Biloba Extract Capsules,180 Capsules
VV-VITA-276,3028.43,151.68,44,14722.37,5.35,-5.00,-0.74,Physical,Venaflux Complex Capsules,120 Capsules
VV-VITA-390,2975.40,153.50,161,663.47,0.71,374.00,540.22,In stock,L-Citrulline Malate Powder,500 g
VV-VITA-222,2932.90,137.46,85,11266.82,2.61,656.00,367.36,In stock,Black Cumin Seed Oil Capsules Organic,180 Capsules
VV-VITA-88,2734.60,125.37,118,4299.53,1.23,653.00,731.36,In stock,Chlorella & Spirulina Capsules Organic,240 Capsules
VV-VITA-364,2700.75,134.93,40,31884.87,9.27,7322.00,638.68,In stock,Astaxanthin Oil Capsules Organic,60 Capsules
VV-VITA-183,2554.80,111.21,93,5562.78,1.07,114.00,184.15,In stock,Reflu-X Complex Capsules,120 Capsules
VV-VITA-159,2546.58,129.06,59,14452.73,3.59,2662.00,1433.38,In stock,EAA Tablets,300 Tablets
VV-VITA-49,2534.63,151.06,77,8740.82,2.80,-6.00,-3.00,Physical,Iron Bisglycinate Capsules,120 Capsules
VV-VITA-142,2524.43,121.91,78,8979.56,1.54,0.00,0.00,Physical,Prostaid Complex Capsules,180 Capsules
VV-VITA-216,2521.39,139.27,59,3467.18,1.09,28.00,60.31,In stock,Kudzu Plus Capsules,180 Capsules
VV-VITA-310,2502.43,127.03,69,7354.87,2.20,52.00,23.72,In stock,Bergamot Extract Capsules,120 Capsules
VV-VITA-50,2352.17,136.98,73,6987.40,2.52,303.00,151.50,In stock,Colla-Veg Complex Capsules,120 Capsules
VV-VITA-308,2309.66,108.58,66,5849.82,1.07,569.00,1138.00,In stock,Digestive Enzymes Complex Capsules,180 Capsules
VV-VITA-173,2278.14,143.88,67,6828.08,1.93,1462.00,1273.35,In stock,Lion's Mane Capsules Organic,60 Capsules
VV-VITA-249,2195.33,113.49,62,6447.23,2.16,1291.00,1056.27,In stock,Saccharomyces Boulardii Capsules,90 Capsules
VV-VITA-341,2163.20,151.25,60,7142.37,2.94,2142.00,812.48,In stock,Vitamin B12 Drops,50 ml
VV-VITA-122,2047.82,102.88,118,3513.26,1.05,1252.00,2390.18,In stock,Immu Pro Complex Capsules,120 Capsules
VV-VITA-186,2046.29,99.07,97,1981.02,1.36,504.00,1176.00,In stock,Chlorella Capsules Organic,180 Tablets
VV-VITA-286,1969.59,104.73,83,3172.27,1.35,38.00,38.00,In stock,Saw palmetto + Pygeum africanum Extracts Capsules,90 Capsules
VV-VITA-107,1831.68,130.24,42,4000.23,3.31,163.00,44.15,In stock,Ceylon Cinnamon Extract Capsules,120 Capsules
VV-VITA-38,1822.31,132.34,75,5178.86,1.93,406.00,264.37,In stock,Vitamin B Plus Tablets,180 Tablets
VV-VITA-367,1802.18,117.93,58,7348.29,3.12,1014.00,405.60,In stock,Creatine Monohydrate Powder,500 g
VV-VITA-339,1789.66,101.34,65,4825.90,1.36,-10.00,-10.00,Physical,L-Tyrosine Plus Capsules,180 Capsules
VV-VITA-297,1789.56,108.75,59,3284.99,1.91,1098.00,591.23,In stock,Beta Carotene Plus Oil Capsules,120 Capsules
VV-VITA-357,1750.85,99.35,87,887.59,1.21,-10.00,-7.78,Physical,Taurine Plus Capsules,90 Capsules
VV-VITA-124,1652.90,84.67,36,10575.33,2.26,243.00,141.75,In stock,Natural Vitamin C Organic Capsules,180 Capsules
VV-VITA-366,1642.41,126.06,104,2327.14,1.28,664.00,820.24,In stock,Iron Gummies,90 Gummies
VV-VITA-301,1632.23,100.36,53,5945.55,1.33,669.00,1561.00,In stock,ZMA Capsules: Zinc + Magnesium + Vitamin B6,120 Capsules
VV-VITA-262,1541.69,104.24,124,1705.74,1.59,78.00,87.75,In stock,Bilberry & Pine Bark Extracts Capsules Organic,90 Capsules
VV-VITA-336,1443.33,84.03,65,2583.14,0.96,812.00,738.18,In stock,Devil's Claw Extract Capsules Organic,90 Capsules
VV-VITA-304,1286.43,98.85,57,4686.20,1.77,5023.00,2870.29,In stock,Folate Capsules,120 Capsules
VV-VITA-146,1199.20,78.67,59,4684.64,1.41,2046.00,1397.27,In stock,Spirulina Tablets Organic,300 Tablets
CP-DQMG-RVN9,1193.85,63.26,56,1920.84,0.81,1150.00,1293.75,In stock,Wild Yams + Zinc Capsules,120 Capsules
VV-VITA-313,1133.24,66.16,67,5337.13,1.44,1768.00,1650.13,In stock,Boswellia Extract Capsules,120 Capsules
VV-VITA-250,1124.19,64.29,74,2484.78,1.10,2502.00,4253.40,In stock,Brahmi Tablets Organic,180 Tablets
VV-VITA-345,1090.43,53.13,63,3947.87,0.96,227.00,401.62,In stock,Serenity Complex Capsules,90 Capsules
VV-VITA-257,1086.33,46.04,62,7956.41,1.73,610.00,776.36,In stock,Lecithin Oil Capsules Organic,120 Capsules
VV-VITA-208,1046.01,66.22,24,8456.60,2.52,1924.00,1924.00,In stock,Horse Chestnut Capsules Organic,120 Capsules
VV-VITA-317,1035.49,57.79,56,4275.26,1.54,2581.00,4014.89,In stock,Citrulline Plus Capsules,150 Capsules
VV-VITA-320,1006.12,52.80,9,35876.86,6.61,6703.00,857.00,In stock,Vollagen + Hyaluronic Acid Complex Capsules,120 Capsules
VV-VITA-158,1003.31,42.32,19,14836.94,2.96,422.00,144.10,In stock,Glucosamine Complex Capsules,180 Capsules
VV-VITA-391,996.24,50.22,48,6018.73,1.59,18.00,20.16,In stock,Quercetin Complex Capsules,120 Capsules
VV-VITA-206,994.08,64.53,60,2320.34,1.05,1687.00,1619.52,In stock,Artichoke Extract Capsules Organic,120 Capsules
VV-VITA-382,862.90,51.57,93,2115.05,0.99,436.00,668.53,In stock,Taurine Powder,1 kg
VV-VITA-237,830.34,51.16,27,9504.74,2.87,21.00,10.14,In stock,Choline Trio Capsules,90 Capsules
VV-VITA-298,815.27,44.37,35,6098.50,1.54,2366.00,2137.03,In stock,Black Maca + Tribulus Capsules,120 Capsules
VV-VITA-252,775.29,40.16,42,3796.71,0.98,32.00,41.60,In stock,Shiitake Extract Capsules,120 Capsules
VV-VITA-351,723.46,41.50,42,2110.42,0.87,706.00,2353.33,In stock,Cordyceps Sinensis Extract Capsules Organic,60 Capsules
VV-VITA-174,664.52,39.18,43,1575.03,0.48,85.00,340.00,In stock,Olive Leaf Extract Capsules,90 Capsules
VV-VITA-111,652.13,38.03,41,2646.20,0.47,814.00,3798.67,In stock,Colon Care Complex Capsules,120 Capsules
VV-VITA-386,644.24,32.81,59,2587.47,0.65,1065.00,3195.00,In stock,Femme Biotics Capsules,60 Capsules
VV-VITA-407,625.66,40.47,24,3055.01,2.43,59.00,143.29,In stock,Green Supreme Complex Powder,270 g
VV-VITA-204,620.82,40.48,49,1657.48,0.69,41.00,57.40,In stock,Devil's Claw Plus Capsules,120 Capsules
VV-VITA-119,596.24,35.39,46,5776.88,1.88,7813.00,9511.48,In stock,Magnesium + Potassium Capsules,180 Capsules
VV-VITA-248,577.60,26.36,38,9345.50,1.42,8633.00,8952.74,In stock,Oregano Oil Capsules Organic,90 Capsules
VV-VITA-403,573.25,34.75,18,8714.50,1.90,-2.00,-3.00,Physical,Magnesium Citrate Powder,500 g
VV-VITA-93,567.51,40.66,24,4728.71,1.60,91.00,101.11,In stock,Vitamin B12 Spray,25 ml
VV-VITA-417,552.12,26.48,9,5341.75,2.97,557.00,236.30,In stock,Omega 3 Gummies,60 Gummies
VV-VITA-94,546.73,24.53,10,14690.15,2.23,380.00,234.71,In stock,Pro Bio Capsules Organic,60 Capsules
VV-VITA-151,546.46,25.84,23,10077.74,1.76,6607.00,4743.49,In stock,Female Balance Complex Capsules,180 Capsules
CW-KVIN-V39Y,543.32,28.23,26,5273.27,1.23,598.00,279.07,In stock,D-Mannose Powder,250G
VV-VITA-57-V,538.39,15.92,18,6835.59,0.92,532.00,558.60,In stock,Hyaluronic Acid Capsules,180 Capsules
VV-VITA-215,518.10,31.46,25,5006.93,1.43,38.00,22.64,In stock,Horsetail Extract Capsules Organic,90 Capsules
VV-VITA-199,502.85,27.59,35,3299.38,0.77,546.00,728.00,In stock,St. John's Wort + Passion Flower Capsules Organic,90 Capsules
VV-VITA-264,471.84,20.28,19,5388.47,0.85,472.00,772.36,In stock,Mugwort Extract Capsules,180 Capsules
VV-VITA-121,427.42,22.97,15,5659.58,1.01,908.00,1121.65,In stock,Female Harmony Complex Capsules,120 Capsules
