week,lost_revenue,lost_units,unrealized_revenue,actual_revenue,Critically low,Demand gap,Physical,Suppressed sales (post-OOS),oos_rate,wisr,skus_oos
2025-09-01,0.00,0.00,0.00,22.40,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2025-09-08,0.00,0.00,0.00,7052.12,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2025-09-15,0.00,0.00,0.00,14107.23,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2025-09-22,0.00,0.00,0.00,10104.29,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2025-09-29,284.77,12.30,0.00,11815.37,117.25,0.00,167.52,0.00,0.02,0.95,4.00
2025-10-06,553.73,23.18,116.79,14982.09,0.00,0.00,553.73,0.00,0.03,0.95,3.00
2025-10-13,637.78,28.90,1248.95,18235.08,51.83,0.00,585.95,0.00,0.04,0.95,5.00
2025-10-20,549.34,26.30,1680.33,20633.43,27.47,0.00,521.87,0.00,0.04,0.96,7.00
2025-10-27,1929.21,100.06,2061.83,18677.31,151.24,40.96,1737.01,0.00,0.12,0.87,15.00
2025-11-03,2457.55,125.75,2753.06,20287.98,30.14,0.00,2427.40,0.00,0.13,0.87,19.00
2025-11-10,2228.61,122.91,2062.06,22052.13,2.84,92.54,2133.23,0.00,0.12,0.88,18.00
2025-11-17,1724.91,105.08,1481.87,19107.08,0.00,311.89,1280.46,132.57,0.09,0.91,18.00
2025-11-24,3012.14,163.52,2147.19,28827.89,9.01,133.31,2829.85,39.96,0.11,0.83,16.00
2025-12-01,4455.81,252.49,2319.40,19537.96,178.04,519.44,3758.33,0.00,0.13,0.79,21.00
2025-12-08,4541.92,264.27,1317.42,20698.06,20.56,636.29,3885.08,0.00,0.13,0.80,20.00
2025-12-15,3271.85,180.64,2215.20,22169.16,518.52,419.97,2333.37,0.00,0.11,0.83,19.00
2025-12-22,4772.99,262.89,2666.67,13045.99,333.24,443.85,3888.70,107.20,0.17,0.73,20.00
2025-12-29,6241.39,346.46,2389.45,11454.94,0.00,352.15,5889.25,0.00,0.18,0.72,21.00
2026-01-05,7390.58,412.86,1224.33,14773.85,37.01,693.46,6660.11,0.00,0.19,0.68,26.00
2026-01-12,7335.68,406.26,1443.56,19209.89,236.67,0.00,7099.01,0.00,0.19,0.69,31.00
2026-01-19,7071.07,384.98,1599.07,19951.14,144.07,0.00,6927.00,0.00,0.20,0.72,33.00
2026-01-26,6472.84,343.31,1642.69,29008.61,270.29,0.00,6202.55,0.00,0.22,0.75,38.00
2026-02-02,5594.69,304.51,2418.70,21139.00,149.13,24.38,5421.18,0.00,0.20,0.79,31.00
2026-02-09,5565.55,293.62,1332.21,27851.95,93.92,17.14,5454.49,0.00,0.20,0.78,35.00
2026-02-16,5966.16,316.31,1583.64,32305.70,48.28,70.93,5846.95,0.00,0.20,0.79,33.00
2026-02-23,5455.90,288.04,2016.13,32572.26,142.04,130.85,5183.01,0.00,0.19,0.81,34.00
2026-03-02,5899.41,308.91,3401.01,30200.07,84.82,58.57,5756.02,0.00,0.19,0.80,30.00
2026-03-09,5321.09,287.41,3159.60,32586.09,32.72,0.00,5288.37,0.00,0.18,0.83,33.00
2026-03-16,5437.29,295.77,2091.37,29674.99,107.65,323.22,5006.42,0.00,0.19,0.82,34.00
2026-03-23,8486.84,442.67,2268.72,34225.32,107.46,0.00,8379.39,0.00,0.22,0.73,36.00
2026-03-30,9507.02,497.53,2007.26,26624.81,183.10,0.00,9323.92,0.00,0.23,0.73,38.00
2026-04-06,10086.30,531.43,2141.58,38665.23,1.09,63.26,10021.94,0.00,0.24,0.73,41.00
2026-04-13,10990.75,588.19,1865.30,30311.64,228.07,0.00,10762.68,0.00,0.28,0.71,48.00
2026-04-20,13343.83,729.09,2480.23,23151.90,371.15,104.94,12867.74,0.00,0.32,0.65,51.00
2026-04-27,12733.55,725.51,1533.46,22497.31,101.91,0.00,12631.63,0.00,0.30,0.67,50.00
2026-05-04,11437.11,674.65,2042.59,32464.86,150.73,0.00,11286.38,0.00,0.28,0.71,43.00
2026-05-11,11147.37,663.80,2766.88,27966.09,191.96,0.00,10955.41,0.00,0.28,0.72,43.00
2026-05-18,10982.37,659.38,1381.58,25753.62,427.04,1012.46,9542.87,0.00,0.27,0.72,41.00
2026-05-25,9332.71,557.08,1412.11,27455.49,298.53,301.30,8732.88,0.00,0.20,0.76,40.00
2026-06-01,8367.93,503.95,1506.12,28803.51,285.21,106.58,7976.15,0.00,0.18,0.78,32.00
2026-06-08,7731.84,465.44,1472.39,29913.00,109.67,0.00,7622.16,0.00,0.17,0.80,31.00
2026-06-15,4403.94,258.74,1686.24,31474.98,114.14,0.00,4289.80,0.00,0.10,0.88,20.00
2026-06-22,8471.49,502.58,1760.07,30903.91,101.07,125.01,8245.42,0.00,0.19,0.76,47.00
2026-06-29,8513.36,496.82,1749.14,20022.99,401.08,373.71,7672.70,65.87,0.19,0.75,27.00
2026-07-06,6422.91,374.85,2253.46,25396.39,103.50,0.00,6319.41,0.00,0.14,0.81,20.00
2026-07-13,1881.75,109.13,440.73,6791.10,0.00,0.00,1881.75,0.00,0.12,0.82,20.00
